angle,k,signal,bad_tail,threshold,n_pairs,high_delta_count,high_delta_rate_all,flagged_pair_ratio,retained_pair_ratio,captured_high_delta_ratio,high_delta_rate_retained,high_delta_rate_flagged,precision_lift
RightElbow,1,epipolar_error_max,high,10.0,104,0,0.0,0.9711538461538461,0.028846153846153848,nan,0.0,0.0,nan
RightElbow,6,epipolar_error_max,high,10.0,97,14,0.14432989690721648,0.9896907216494846,0.010309278350515464,1.0,0.0,0.14583333333333334,1.0104166666666667
RightElbow,1,epipolar_error_max,high,15.0,104,0,0.0,0.7692307692307693,0.23076923076923078,nan,0.0,0.0,nan
RightElbow,6,epipolar_error_max,high,15.0,97,14,0.14432989690721648,0.8041237113402062,0.1958762886597938,1.0,0.0,0.1794871794871795,1.2435897435897436
RightElbow,1,epipolar_error_max,high,20.0,104,0,0.0,0.6346153846153846,0.36538461538461536,nan,0.0,0.0,nan
RightElbow,6,epipolar_error_max,high,20.0,97,14,0.14432989690721648,0.6907216494845361,0.30927835051546393,1.0,0.0,0.208955223880597,1.447761194029851
RightElbow,1,epipolar_error_max,high,30.0,104,0,0.0,0.49038461538461536,0.5096153846153846,nan,0.0,0.0,nan
RightElbow,6,epipolar_error_max,high,30.0,97,14,0.14432989690721648,0.5360824742268041,0.4639175257731959,1.0,0.0,0.2692307692307692,1.8653846153846154
RightElbow,1,reprojection_error_max,high,10.0,104,0,0.0,0.6346153846153846,0.36538461538461536,nan,0.0,0.0,nan
RightElbow,6,reprojection_error_max,high,10.0,97,14,0.14432989690721648,0.6907216494845361,0.30927835051546393,1.0,0.0,0.208955223880597,1.447761194029851
RightElbow,1,reprojection_error_max,high,20.0,104,0,0.0,0.4326923076923077,0.5673076923076923,nan,0.0,0.0,nan
RightElbow,6,reprojection_error_max,high,20.0,97,14,0.14432989690721648,0.422680412371134,0.5773195876288659,0.8571428571428571,0.03571428571428571,0.2926829268292683,2.0278745644599305
RightElbow,1,reprojection_error_max,high,30.0,104,0,0.0,0.2692307692307692,0.7307692307692307,nan,0.0,0.0,nan
RightElbow,6,reprojection_error_max,high,30.0,97,14,0.14432989690721648,0.25773195876288657,0.7422680412371134,0.5714285714285714,0.08333333333333333,0.32,2.2171428571428575
RightElbow,1,reprojection_error_max,high,40.0,104,0,0.0,0.18269230769230768,0.8173076923076923,nan,0.0,0.0,nan
RightElbow,6,reprojection_error_max,high,40.0,97,14,0.14432989690721648,0.16494845360824742,0.8350515463917526,0.35714285714285715,0.1111111111111111,0.3125,2.1651785714285716
RightElbow,1,reprojection_error_max,high,60.0,104,0,0.0,0.0673076923076923,0.9326923076923077,nan,0.0,0.0,nan
RightElbow,6,reprojection_error_max,high,60.0,97,14,0.14432989690721648,0.061855670103092786,0.9381443298969072,0.21428571428571427,0.12087912087912088,0.5,3.4642857142857144
RightElbow,1,reprojection_error_max,high,80.0,104,0,0.0,0.0,1.0,nan,0.0,nan,nan
RightElbow,6,reprojection_error_max,high,80.0,97,14,0.14432989690721648,0.0,1.0,0.0,0.14432989690721648,nan,nan
