AngleName,Scenario,Signal,N,MeanAngleError,MeanSignalValue
RightElbow,Environmental Interference,epipolar_error_max,282,16.469427736245652,3.3881234975995307
RightElbow,Unclassified,epipolar_error_max,1174,21.52712402070079,5.950684693306673
RightElbow,Baseline,detect_conf_min,367,23.38836981323056,0.849760524096216
RightElbow,Occlusion,detect_conf_min,645,22.373525837850096,0.8063837997528702
RightElbow,Environmental Interference,detect_conf_min,280,16.39497750254367,0.9354699279580797
RightElbow,Unclassified,detect_conf_min,1171,21.566690978824997,0.8840363979670454
RightElbow,Baseline,temporal_rescue_fraction,392,25.421265413187502,0.16751700680272105
RightElbow,Occlusion,temporal_rescue_fraction,655,22.535383227471375,0.16692111959287528
RightElbow,Environmental Interference,temporal_rescue_fraction,282,16.469427736245652,0.048463356973995265
RightElbow,Unclassified,temporal_rescue_fraction,1196,21.27240513714327,0.11092530657748048
LeftHip,Baseline,pair_conf_min,363,12.587474707878336,0.6819623933102283
LeftHip,Occlusion,pair_conf_min,370,19.28201455671725,0.4869875137027209
LeftHip,Environmental Interference,pair_conf_min,282,22.665477053219103,0.6847606806732631
LeftHip,Unclassified,pair_conf_min,1174,14.092169561447582,0.6628783144596189
LeftHip,Baseline,stereo_quality_min,363,12.587474707878336,0.5394540458719937
LeftHip,Occlusion,stereo_quality_min,370,19.28201455671725,0.36298184067710476
LeftHip,Environmental Interference,stereo_quality_min,282,22.665477053219103,0.5754877535938566
LeftHip,Unclassified,stereo_quality_min,1174,14.092169561447582,0.5282080743194788
LeftHip,Baseline,reprojection_error_max,357,12.644535507765216,2.025733146200433
LeftHip,Occlusion,reprojection_error_max,370,19.28201455671725,2.938664315765873
LeftHip,Environmental Interference,reprojection_error_max,282,22.665477053219103,1.3690055297284955
LeftHip,Unclassified,reprojection_error_max,1169,13.866250789340553,1.6733621294558374
LeftHip,Baseline,epipolar_error_max,363,12.587474707878336,8.606473546432104
LeftHip,Occlusion,epipolar_error_max,370,19.28201455671725,8.699112544993124
LeftHip,Environmental Interference,epipolar_error_max,282,22.665477053219103,3.047087658865514
LeftHip,Unclassified,epipolar_error_max,1174,14.092169561447582,4.591077838197001
LeftHip,Baseline,detect_conf_min,358,12.459175649592613,0.9021973479675732
LeftHip,Occlusion,detect_conf_min,360,19.355547251817548,0.6131225059481544
LeftHip,Environmental Interference,detect_conf_min,280,22.669435281355543,0.8473532754927874
LeftHip,Unclassified,detect_conf_min,1171,14.047442378450489,0.8781712267459962
LeftHip,Baseline,temporal_rescue_fraction,364,12.58370467503322,0.08516483516483514
LeftHip,Occlusion,temporal_rescue_fraction,370,19.28201455671725,0.20270270270270271
LeftHip,Environmental Interference,temporal_rescue_fraction,282,22.665477053219103,0.0756501182033097
LeftHip,Unclassified,temporal_rescue_fraction,1184,14.422303782764798,0.10078828828828827
RightHip,Baseline,pair_conf_min,365,14.727425578725738,0.6810163108444781
RightHip,Occlusion,pair_conf_min,370,16.951014008491104,0.4900222827720801
RightHip,Environmental Interference,pair_conf_min,282,19.612634499391053,0.7122769984976125
