angle,k,signal,bad_tail,threshold,n_pairs,high_delta_count,high_delta_rate_all,flagged_pair_ratio,retained_pair_ratio,captured_high_delta_ratio,high_delta_rate_retained,high_delta_rate_flagged,precision_lift
LeftElbow,1,epipolar_error_max,high,6.0,2582,161,0.06235476374903176,0.308288148721921,0.691711851278079,0.5714285714285714,0.03863381858902576,0.11557788944723618,1.8535534816941852
LeftElbow,6,epipolar_error_max,high,6.0,2542,479,0.1884343036978757,0.33084185680566486,0.6691581431943352,0.5093945720250522,0.13815402704291593,0.2901307966706302,1.539692035776079
LeftElbow,1,epipolar_error_max,high,10.0,2582,161,0.06235476374903176,0.20797831138652206,0.7920216886134779,0.40372670807453415,0.0469437652811736,0.12104283054003724,1.941196201579976
LeftElbow,6,epipolar_error_max,high,10.0,2542,479,0.1884343036978757,0.23210070810385522,0.7678992918961448,0.36325678496868474,0.15625,0.29491525423728815,1.5650826226955876
LeftElbow,1,epipolar_error_max,high,15.0,2582,161,0.06235476374903176,0.1409759876065066,0.8590240123934935,0.2546583850931677,0.05410279531109107,0.11263736263736264,1.8063954678861511
LeftElbow,6,epipolar_error_max,high,15.0,2542,479,0.1884343036978757,0.15892997639653816,0.8410700236034618,0.26931106471816285,0.1637043966323667,0.3193069306930693,1.694526550776163
LeftElbow,1,epipolar_error_max,high,20.0,2582,161,0.06235476374903176,0.10689388071262587,0.8931061192873742,0.18012422360248448,0.05724197745013009,0.10507246376811594,1.6850751642812132
LeftElbow,6,epipolar_error_max,high,20.0,2542,479,0.1884343036978757,0.12037765538945712,0.8796223446105429,0.2045929018789144,0.17039355992844366,0.3202614379084967,1.699592014954903
LeftElbow,1,epipolar_error_max,high,30.0,2582,161,0.06235476374903176,0.07358636715724244,0.9264136328427576,0.11801242236024845,0.05936454849498328,0.1,1.603726708074534
LeftElbow,6,epipolar_error_max,high,30.0,2542,479,0.1884343036978757,0.08457907159716758,0.9154209284028324,0.13778705636743216,0.17748173614095403,0.30697674418604654,1.6290916152837793
LeftElbow,1,reprojection_error_max,high,10.0,2582,161,0.06235476374903176,0.04686289697908598,0.953137103020914,0.11801242236024845,0.05770012190166599,0.15702479338842976,2.5182485498691034
LeftElbow,6,reprojection_error_max,high,10.0,2542,479,0.1884343036978757,0.04956726986624705,0.950432730133753,0.10020876826722339,0.17839403973509935,0.38095238095238093,2.0216721344069986
LeftElbow,1,reprojection_error_max,high,20.0,2582,161,0.06235476374903176,0.020139426800929512,0.9798605731990705,0.062111801242236024,0.059683794466403164,0.19230769230769232,3.0840898232202583
LeftElbow,6,reprojection_error_max,high,20.0,2542,479,0.1884343036978757,0.022423288749016522,0.9775767112509834,0.037578288100208766,0.18551307847082496,0.3157894736842105,1.675859795626854
LeftElbow,1,reprojection_error_max,high,30.0,2582,161,0.06235476374903176,0.0,1.0,0.0,0.06235476374903176,nan,nan
LeftElbow,6,reprojection_error_max,high,30.0,2542,479,0.1884343036978757,0.0,1.0,0.0,0.1884343036978757,nan,nan
LeftElbow,1,reprojection_error_max,high,40.0,2582,161,0.06235476374903176,0.0,1.0,0.0,0.06235476374903176,nan,nan
LeftElbow,6,reprojection_error_max,high,40.0,2542,479,0.1884343036978757,0.0,1.0,0.0,0.1884343036978757,nan,nan
LeftElbow,1,reprojection_error_max,high,60.0,2582,161,0.06235476374903176,0.0,1.0,0.0,0.06235476374903176,nan,nan
